"state","cases","deaths","state.rate"
"Alabama",545028,11188,2.05
"Alaska",69534,352,0.51
"Arizona",882691,17653,2
"Arkansas",338986,5842,1.72
"California",3793055,63345,1.67
"Colorado",547961,6746,1.23
"Connecticut",346564,8244,2.38
"Delaware",108731,1668,1.53
"District of Columbia",49041,1136,2.32
"Florida",2326842,36972,1.59
"Georgia",1097265,20233,1.84
"Hawaii",35152,498,1.42
"Idaho",192704,2103,1.09
"Illinois",1387795,24891,1.79
"Indiana",749027,13657,1.82
"Iowa",370812,6065,1.64
"Kansas",316287,5115,1.62
"Kentucky",461055,7127,1.55
"Louisiana",472222,10605,2.25
"Maine",67985,837,1.23
"Maryland",460406,9587,2.08
"Massachusetts",660563,17881,2.71
"Michigan",991556,20457,2.06
"Minnesota",601386,7437,1.24
"Mississippi",318048,7324,2.3
"Missouri",616864,9718,1.58
"Montana",112236,1627,1.45
"Nebraska",222317,2385,1.07
"Nevada",325031,5599,1.72
"New Hampshire",98396,1353,1.38
"New Jersey",1016219,26253,2.58
"New Mexico",203330,4275,2.1
"New York",2102003,52811,2.51
"North Carolina",1004699,13147,1.31
"North Dakota",110098,1515,1.38
"Northern Mariana Islands",183,2,1.09
"Ohio",1103380,19920,1.81
"Oklahoma",453186,7316,1.61
"Oregon",202286,2711,1.34
"Pennsylvania",1208879,27349,2.26
"Rhode Island",139923,2706,1.93
"South Carolina",593628,9739,1.64
"South Dakota",124242,2020,1.63
"Tennessee",839507,12246,1.46
"Texas",2957710,51798,1.75
"Utah",405721,2286,0.56
"Vermont",24218,255,1.05
"Virgin Islands",3512,28,0.8
"Virginia",676041,11216,1.66
"Washington",440486,5866,1.33
"West Virginia",162111,2807,1.73
"Wisconsin",675152,7923,1.17
"Wyoming",60543,720,1.19
